receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,4.9726693773549675
R_00x20y,t20,125,5.643971212346544,5.036491186382333
R_00x20y,t20,250,2.211440041572608,4.555765764886034
R_00x20y,t20,500,2.1185543566886302,4.169696733870148
R_00x20y,t20,1000,1.8779081891794835,3.7929222898451695
R_00x20y,t20,2000,2.0188694891591314,3.2117058135981846
R_00x20y,t20,4000,1.7492404436901166,1.9017280104557963
R_00x20y,t20,8000,1.1546544929687,1.08105203740097
R_15x40y,t20,63,2.4042264479123165,5.637338744634749
R_15x40y,t20,125,5.24870473061876,5.46912658996764
R_15x40y,t20,250,2.2362975029086773,4.423630715950132
R_15x40y,t20,500,2.04183443304955,4.00355653487388
R_15x40y,t20,1000,1.8425500081023867,3.810377689390307
R_15x40y,t20,2000,1.975355402317205,3.260682122372217
R_15x40y,t20,4000,1.6921628899740322,1.979949221810181
R_15x40y,t20,8000,1.1413500485963997,1.0658642725671283
R_30x00y,t20,63,2.5228254703312136,5.579635453289409
R_30x00y,t20,125,4.5181704440481925,5.4442297023501585
R_30x00y,t20,250,2.5270500732315675,4.734886332291105
R_30x00y,t20,500,2.0474574192894757,4.175098763086476
R_30x00y,t20,1000,1.900576150470351,3.8000435966678823
R_30x00y,t20,2000,1.9494637000876818,3.192670931077314
R_30x00y,t20,4000,1.7283309144215306,1.8686172116046924
R_30x00y,t20,8000,1.1190407202398613,1.1050771749600792
R_40x30y,t20,63,2.408793926515104,4.364237927177789
R_40x30y,t20,250,2.3088797109074415,4.7641249521293965
R_40x30y,t20,500,2.269310960562598,4.236721320604422
R_40x30y,t20,1000,1.906945453642093,3.8500410514492223
R_40x30y,t20,2000,2.00015735657735,3.3168562213737385
R_40x30y,t20,4000,1.7134505406232012,1.94426341951461
R_40x30y,t20,8000,1.1538209280348974,1.0929716527856097
R_60x15y,t20,63,2.482007554301767,5.252854605752787
R_60x15y,t20,125,6.203911889674429,5.48000181845502
R_60x15y,t20,250,2.1605912368237647,4.758217951000742
R_60x15y,t20,500,2.1601015400130805,4.148803470311075
R_60x15y,t20,1000,1.9201734173887237,3.750546965895798
R_60x15y,t20,2000,2.0170344827541955,3.189829807866376
R_60x15y,t20,4000,1.7365657787420206,1.759131268006619
R_60x15y,t20,8000,1.1573123959465188,1.0263865377790058
