receiver,metric,band_hz,target,prediction
R_00x20y,t20,250,2.211440041572608,2.3364937831574673
R_00x20y,t20,500,2.1185543566886302,3.1634584016401837
R_00x20y,t20,1000,1.8779081891794835,2.7992477794611883
R_00x20y,t20,2000,2.0188694891591314,1.905602934906609
R_00x20y,t20,4000,1.7492404436901166,1.9590839454098883
R_00x20y,t20,8000,1.1546544929687,1.3595683860757595
R_15x40y,t20,250,2.2362975029086773,2.4799344270907953
R_15x40y,t20,500,2.04183443304955,3.1132621475631432
R_15x40y,t20,1000,1.8425500081023867,2.7119937624428156
R_15x40y,t20,2000,1.975355402317205,1.9250935045721154
R_15x40y,t20,4000,1.6921628899740322,1.9667369538752115
R_15x40y,t20,8000,1.1413500485963997,1.3400892782406775
R_30x00y,t20,250,2.5270500732315675,2.567687011924122
R_30x00y,t20,500,2.0474574192894757,3.025939316198364
R_30x00y,t20,1000,1.900576150470351,2.7525061185732764
R_30x00y,t20,2000,1.9494637000876818,1.932696232731693
R_30x00y,t20,4000,1.7283309144215306,1.9567346509964028
R_30x00y,t20,8000,1.1190407202398613,1.3617659563744944
R_40x30y,t20,250,2.3088797109074415,2.3045717791085623
R_40x30y,t20,500,2.269310960562598,3.209458206261829
R_40x30y,t20,1000,1.906945453642093,2.751488456244496
R_40x30y,t20,2000,2.00015735657735,1.9433391162769529
R_40x30y,t20,4000,1.7134505406232012,1.9469391712966342
R_40x30y,t20,8000,1.1538209280348974,1.3697570745378287
R_60x15y,t20,250,2.1605912368237647,2.398189211624243
R_60x15y,t20,500,2.1601015400130805,3.241711883811901
R_60x15y,t20,1000,1.9201734173887237,2.692778769208625
R_60x15y,t20,2000,2.0170344827541955,1.9169645359177694
R_60x15y,t20,4000,1.7365657787420206,1.9939181312518197
R_60x15y,t20,8000,1.1573123959465188,1.3573149875405053
