receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,2.0759004214606476
R_00x20y,t20,125,5.643971212346544,1.9390022793142454
R_00x20y,t20,250,2.211440041572608,1.7859747103921046
R_00x20y,t20,500,2.1185543566886302,1.5921427864086182
R_00x20y,t20,1000,1.8779081891794835,1.4687624163049358
R_00x20y,t20,2000,2.0188694891591314,1.377561428494285
R_00x20y,t20,4000,1.7492404436901166,1.2159455416899025
R_00x20y,t20,8000,1.1546544929687,0.8694428703718414
R_15x40y,t20,63,2.4042264479123165,2.2708552660452885
R_15x40y,t20,125,5.24870473061876,2.1969359303979763
R_15x40y,t20,250,2.2362975029086773,1.7964760098748669
R_15x40y,t20,500,2.04183443304955,1.6724334589079164
R_15x40y,t20,1000,1.8425500081023867,1.4291173676337292
R_15x40y,t20,2000,1.975355402317205,1.37223940677572
R_15x40y,t20,4000,1.6921628899740322,1.2405108440687225
R_15x40y,t20,8000,1.1413500485963997,0.8699381487997531
R_30x00y,t20,63,2.5228254703312136,1.8863578695597878
R_30x00y,t20,125,4.5181704440481925,1.7417182088950713
R_30x00y,t20,250,2.5270500732315675,2.0479995311745895
R_30x00y,t20,500,2.0474574192894757,1.5463641341875223
R_30x00y,t20,1000,1.900576150470351,1.48467187340062
R_30x00y,t20,2000,1.9494637000876818,1.384353989313664
R_30x00y,t20,4000,1.7283309144215306,1.2343085782850443
R_30x00y,t20,8000,1.1190407202398613,0.8557762971086508
R_40x30y,t20,63,2.408793926515104,2.18263787756863
R_40x30y,t20,250,2.3088797109074415,1.655620229645554
R_40x30y,t20,500,2.269310960562598,1.5993413909162417
R_40x30y,t20,1000,1.906945453642093,1.4462903164791878
R_40x30y,t20,2000,2.00015735657735,1.4247444181474775
R_40x30y,t20,4000,1.7134505406232012,1.2715491086975799
R_40x30y,t20,8000,1.1538209280348974,0.872404020722238
R_60x15y,t20,63,2.482007554301767,2.0334280522952417
R_60x15y,t20,125,6.203911889674429,1.9493755646940403
R_60x15y,t20,250,2.1605912368237647,1.7196775572068628
R_60x15y,t20,500,2.1601015400130805,1.5378474867505532
R_60x15y,t20,1000,1.9201734173887237,1.355754989287121
R_60x15y,t20,2000,2.0170344827541955,1.3903333534572637
R_60x15y,t20,4000,1.7365657787420206,1.2217466913382697
R_60x15y,t20,8000,1.1573123959465188,0.8476387646782645
