receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,5.725153654574467
R_00x20y,t20,125,5.643971212346544,4.272431376393027
R_00x20y,t20,250,2.211440041572608,3.284466321705089
R_00x20y,t20,500,2.1185543566886302,2.6383304912591012
R_00x20y,t20,1000,1.8779081891794835,1.6446632754793478
R_00x20y,t20,2000,2.0188694891591314,1.861891783042581
R_00x20y,t20,4000,1.7492404436901166,0.9888444509478831
R_00x20y,t20,8000,1.1546544929687,1.0078167432462546
R_15x40y,t20,63,2.4042264479123165,5.555405654394243
R_15x40y,t20,125,5.24870473061876,4.362814308878301
R_15x40y,t20,250,2.2362975029086773,3.5474053148780755
R_15x40y,t20,500,2.04183443304955,2.6273163153048618
R_15x40y,t20,1000,1.8425500081023867,1.730324877921396
R_15x40y,t20,2000,1.975355402317205,1.8932609440782804
R_15x40y,t20,4000,1.6921628899740322,0.9974479612230119
R_15x40y,t20,8000,1.1413500485963997,1.0441075057182694
R_30x00y,t20,63,2.5228254703312136,5.363782434715576
R_30x00y,t20,125,4.5181704440481925,4.602460583799039
R_30x00y,t20,250,2.5270500732315675,3.6574624898770423
R_30x00y,t20,500,2.0474574192894757,2.713291367829941
R_30x00y,t20,1000,1.900576150470351,1.6162678499662217
R_30x00y,t20,2000,1.9494637000876818,1.9030573813441445
R_30x00y,t20,4000,1.7283309144215306,0.9944613379453671
R_30x00y,t20,8000,1.1190407202398613,1.0167429462473871
R_40x30y,t20,63,2.408793926515104,5.121175740901843
R_40x30y,t20,250,2.3088797109074415,3.524590765493833
R_40x30y,t20,500,2.269310960562598,2.623323157022006
R_40x30y,t20,1000,1.906945453642093,1.6392303877289305
R_40x30y,t20,2000,2.00015735657735,1.9225434561614492
R_40x30y,t20,4000,1.7134505406232012,1.024580257314588
R_40x30y,t20,8000,1.1538209280348974,1.0308762947951833
R_60x15y,t20,63,2.482007554301767,5.633049974092741
R_60x15y,t20,125,6.203911889674429,4.273435790012633
R_60x15y,t20,250,2.1605912368237647,3.5825015797197284
R_60x15y,t20,500,2.1601015400130805,2.7222446149627
R_60x15y,t20,1000,1.9201734173887237,1.6164258480025595
R_60x15y,t20,2000,2.0170344827541955,1.8513483514731066
R_60x15y,t20,4000,1.7365657787420206,0.9859091792862765
R_60x15y,t20,8000,1.1573123959465188,0.9614996964508612
