receiver,metric,band_hz,target,prediction
R_00x20y,t20,250,2.211440041572608,1.2259087936364401
R_00x20y,t20,500,2.1185543566886302,0.6328516424759301
R_00x20y,t20,1000,1.8779081891794835,0.8888442705491232
R_00x20y,t20,2000,2.0188694891591314,0.8892114030740127
R_00x20y,t20,4000,1.7492404436901166,0.9731800329411988
R_00x20y,t20,8000,1.1546544929687,0.8109327970358055
R_15x40y,t20,250,2.2362975029086773,1.333230602270377
R_15x40y,t20,500,2.04183443304955,0.7400447520578006
R_15x40y,t20,1000,1.8425500081023867,0.9358492605509885
R_15x40y,t20,2000,1.975355402317205,0.8977803765559775
R_15x40y,t20,4000,1.6921628899740322,0.956246873979639
R_15x40y,t20,8000,1.1413500485963997,0.8100562584916625
R_30x00y,t20,250,2.5270500732315675,1.3080745702751952
R_30x00y,t20,500,2.0474574192894757,0.676330766143106
R_30x00y,t20,1000,1.900576150470351,0.9182937424501583
R_30x00y,t20,2000,1.9494637000876818,0.920165291349463
R_30x00y,t20,4000,1.7283309144215306,0.9567445045278283
R_30x00y,t20,8000,1.1190407202398613,0.7779551577433844
R_40x30y,t20,250,2.3088797109074415,1.2861388595746068
R_40x30y,t20,500,2.269310960562598,0.7169275573742742
R_40x30y,t20,1000,1.906945453642093,0.9921414607806772
R_40x30y,t20,2000,2.00015735657735,0.892075872980821
R_40x30y,t20,4000,1.7134505406232012,0.9547284493011334
R_40x30y,t20,8000,1.1538209280348974,0.7942146361405642
R_60x15y,t20,250,2.1605912368237647,1.2286815671878648
R_60x15y,t20,500,2.1601015400130805,0.6894466102820761
R_60x15y,t20,1000,1.9201734173887237,0.9280042066661774
R_60x15y,t20,2000,2.0170344827541955,0.9060744019653721
R_60x15y,t20,4000,1.7365657787420206,0.93752474735801
R_60x15y,t20,8000,1.1573123959465188,0.799898951617107
