receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,1.8707190707763248
R_00x20y,t20,125,5.643971212346544,2.0311825561384556
R_00x20y,t20,250,2.211440041572608,2.2167499788269547
R_00x20y,t20,500,2.1185543566886302,2.2104823938195635
R_00x20y,t20,1000,1.8779081891794835,2.0825362536779872
R_00x20y,t20,2000,2.0188694891591314,2.0364877049685894
R_00x20y,t20,4000,1.7492404436901166,1.7577180571810267
R_00x20y,t20,8000,1.1546544929687,1.1963545588379036
R_15x40y,t20,63,2.4042264479123165,2.0904158462594347
R_15x40y,t20,125,5.24870473061876,2.250915217866143
R_15x40y,t20,250,2.2362975029086773,2.245283589819927
R_15x40y,t20,500,2.04183443304955,2.246244976440014
R_15x40y,t20,1000,1.8425500081023867,2.0922009335926846
R_15x40y,t20,2000,1.975355402317205,2.051842963930537
R_15x40y,t20,4000,1.6921628899740322,1.8401656778677973
R_15x40y,t20,8000,1.1413500485963997,1.1956716891533994
R_30x00y,t20,63,2.5228254703312136,1.5355450344515729
R_30x00y,t20,125,4.5181704440481925,1.965604900249568
R_30x00y,t20,250,2.5270500732315675,2.4287682483650292
R_30x00y,t20,500,2.0474574192894757,2.2420368787228786
R_30x00y,t20,1000,1.900576150470351,2.021619438290067
R_30x00y,t20,2000,1.9494637000876818,2.0336243739673607
R_30x00y,t20,4000,1.7283309144215306,1.8177272319209912
R_30x00y,t20,8000,1.1190407202398613,1.2040621767599182
R_40x30y,t20,63,2.408793926515104,1.974248440566351
R_40x30y,t20,250,2.3088797109074415,2.1096843995306926
R_40x30y,t20,500,2.269310960562598,2.2667291340474938
R_40x30y,t20,1000,1.906945453642093,2.1830016122558034
R_40x30y,t20,2000,2.00015735657735,2.052758397236533
R_40x30y,t20,4000,1.7134505406232012,1.7994219942193583
R_40x30y,t20,8000,1.1538209280348974,1.2123146181027453
R_60x15y,t20,63,2.482007554301767,1.8423074334793226
R_60x15y,t20,125,6.203911889674429,2.1382993193130804
R_60x15y,t20,250,2.1605912368237647,2.186576786051751
R_60x15y,t20,500,2.1601015400130805,2.177723368389696
R_60x15y,t20,1000,1.9201734173887237,2.1258859114813817
R_60x15y,t20,2000,2.0170344827541955,2.0630290911975497
R_60x15y,t20,4000,1.7365657787420206,1.780597006746888
R_60x15y,t20,8000,1.1573123959465188,1.183245589793296
