receiver,metric,band_hz,target,prediction
R_00x20y,t20,125,5.643971212346544,2.031181887130986
R_00x20y,t20,250,2.211440041572608,2.2167488982851813
R_00x20y,t20,500,2.1185543566886302,2.2104889490632056
R_00x20y,t20,1000,1.8779081891794835,2.0825412155558243
R_00x20y,t20,2000,2.0188694891591314,2.036487910704465
R_00x20y,t20,4000,1.7492404436901166,1.757721685591338
R_00x20y,t20,8000,1.1546544929687,1.1963558994092942
R_15x40y,t20,125,5.24870473061876,2.2509155510545042
R_15x40y,t20,250,2.2362975029086773,2.245283019190806
R_15x40y,t20,500,2.04183443304955,2.246248360536854
R_15x40y,t20,1000,1.8425500081023867,2.0922321331415525
R_15x40y,t20,2000,1.975355402317205,2.051846434168471
R_15x40y,t20,4000,1.6921628899740322,1.840174924352078
R_15x40y,t20,8000,1.1413500485963997,1.195673487090031
R_30x00y,t20,125,4.5181704440481925,1.9656036222487372
R_30x00y,t20,250,2.5270500732315675,2.428767135452231
R_30x00y,t20,500,2.0474574192894757,2.2420459148123437
R_30x00y,t20,1000,1.900576150470351,2.0216128290623625
R_30x00y,t20,2000,1.9494637000876818,2.0336278450606606
R_30x00y,t20,4000,1.7283309144215306,1.8177313628333762
R_30x00y,t20,8000,1.1190407202398613,1.2040649389180764
R_40x30y,t20,250,2.3088797109074415,2.1096864487552636
R_40x30y,t20,500,2.269310960562598,2.266728938712671
R_40x30y,t20,1000,1.906945453642093,2.1830033307768906
R_40x30y,t20,2000,2.00015735657735,2.052755033354464
R_40x30y,t20,4000,1.7134505406232012,1.7994203629249184
R_40x30y,t20,8000,1.1538209280348974,1.212315322032271
R_60x15y,t20,125,6.203911889674429,2.1382968211062456
R_60x15y,t20,250,2.1605912368237647,2.1865797987538755
R_60x15y,t20,500,2.1601015400130805,2.177726843437924
R_60x15y,t20,1000,1.9201734173887237,2.125888678895498
R_60x15y,t20,2000,2.0170344827541955,2.0630327269950786
R_60x15y,t20,4000,1.7365657787420206,1.7805956154791414
R_60x15y,t20,8000,1.1573123959465188,1.1832435675055164
