receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,1.8707190707763592
R_00x20y,t20,125,5.643971212346544,2.0311825561384627
R_00x20y,t20,250,2.211440041572608,2.2167499788269334
R_00x20y,t20,500,2.1185543566886302,2.21048287552081
R_00x20y,t20,1000,1.8779081891794835,2.0825479003109244
R_00x20y,t20,2000,2.0188694891591314,2.0364852611374147
R_00x20y,t20,4000,1.7492404436901166,1.757723222885483
R_00x20y,t20,8000,1.1546544929687,1.1963544405683073
R_15x40y,t20,63,2.4042264479123165,2.0904158462595186
R_15x40y,t20,125,5.24870473061876,2.2509152178661775
R_15x40y,t20,250,2.2362975029086773,2.245283589820349
R_15x40y,t20,500,2.04183443304955,2.2462448788839984
R_15x40y,t20,1000,1.8425500081023867,2.0922005459426405
R_15x40y,t20,2000,1.975355402317205,2.051843269641035
R_15x40y,t20,4000,1.6921628899740322,1.840177069591192
R_15x40y,t20,8000,1.1413500485963997,1.19567044218115
R_30x00y,t20,63,2.5228254703312136,1.535545034451626
R_30x00y,t20,125,4.5181704440481925,1.9656049002494846
R_30x00y,t20,250,2.5270500732315675,2.428768248365597
R_30x00y,t20,500,2.0474574192894757,2.2420371359937294
R_30x00y,t20,1000,1.900576150470351,2.0216112564985798
R_30x00y,t20,2000,1.9494637000876818,2.0336301798029033
R_30x00y,t20,4000,1.7283309144215306,1.817729269389728
R_30x00y,t20,8000,1.1190407202398613,1.2040614093897657
R_40x30y,t20,63,2.408793926515104,1.9742484405663618
R_40x30y,t20,250,2.3088797109074415,2.109684399530294
R_40x30y,t20,500,2.269310960562598,2.266728744572741
R_40x30y,t20,1000,1.906945453642093,2.18300871059086
R_40x30y,t20,2000,2.00015735657735,2.052757412429622
R_40x30y,t20,4000,1.7134505406232012,1.7994102975851596
R_40x30y,t20,8000,1.1538209280348974,1.2123154925433732
R_60x15y,t20,63,2.482007554301767,1.8423074334792189
R_60x15y,t20,125,6.203911889674429,2.1382993193130417
R_60x15y,t20,250,2.1605912368237647,2.1865767860518655
R_60x15y,t20,500,2.1601015400130805,2.1777235275008864
R_60x15y,t20,1000,1.9201734173887237,2.1258945567067835
R_60x15y,t20,2000,2.0170344827541955,2.0630364899043814
R_60x15y,t20,4000,1.7365657787420206,1.7805980007620323
R_60x15y,t20,8000,1.1573123959465188,1.1832434659486486
