receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,1.8707190698249627
R_00x20y,t20,125,5.643971212346544,2.031182615524929
R_00x20y,t20,250,2.211440041572608,2.2167460899840052
R_00x20y,t20,500,2.1185543566886302,2.210493605052364
R_00x20y,t20,1000,1.8779081891794835,2.0825401887499937
R_00x20y,t20,2000,2.0188694891591314,2.036481897881469
R_00x20y,t20,4000,1.7492404436901166,1.7577165379224409
R_00x20y,t20,8000,1.1546544929687,1.1963545905304942
R_15x40y,t20,63,2.4042264479123165,2.0904158479035972
R_15x40y,t20,125,5.24870473061876,2.250914583769241
R_15x40y,t20,250,2.2362975029086773,2.245281447947492
R_15x40y,t20,500,2.04183443304955,2.2462469028484238
R_15x40y,t20,1000,1.8425500081023867,2.092201395013504
R_15x40y,t20,2000,1.975355402317205,2.0518483692167875
R_15x40y,t20,4000,1.6921628899740322,1.8401749380585646
R_15x40y,t20,8000,1.1413500485963997,1.1956724078624466
R_30x00y,t20,63,2.5228254703312136,1.535545033293464
R_30x00y,t20,125,4.5181704440481925,1.9656046956743112
R_30x00y,t20,250,2.5270500732315675,2.4287665959714273
R_30x00y,t20,500,2.0474574192894757,2.2420529439786256
R_30x00y,t20,1000,1.900576150470351,2.021614549122003
R_30x00y,t20,2000,1.9494637000876818,2.033627238955471
R_30x00y,t20,4000,1.7283309144215306,1.8177291366749941
R_30x00y,t20,8000,1.1190407202398613,1.204062469917588
R_40x30y,t20,63,2.408793926515104,1.9742484371151645
R_40x30y,t20,250,2.3088797109074415,2.109686776128648
R_40x30y,t20,500,2.269310960562598,2.266727214357875
R_40x30y,t20,1000,1.906945453642093,2.1829980707111534
R_40x30y,t20,2000,2.00015735657735,2.052759039681864
R_40x30y,t20,4000,1.7134505406232012,1.7994244347589279
R_40x30y,t20,8000,1.1538209280348974,1.212315860245121
R_60x15y,t20,63,2.482007554301767,1.8423074256321939
R_60x15y,t20,125,6.203911889674429,2.1382996388425504
R_60x15y,t20,250,2.1605912368237647,2.1865824092927055
R_60x15y,t20,500,2.1601015400130805,2.177737982599976
R_60x15y,t20,1000,1.9201734173887237,2.1258867221288087
R_60x15y,t20,2000,2.0170344827541955,2.0630399774869024
R_60x15y,t20,4000,1.7365657787420206,1.7805970514988996
R_60x15y,t20,8000,1.1573123959465188,1.1832432333039533
