receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,1.870719069824848
R_00x20y,t20,125,5.643971212346544,2.0311826155249206
R_00x20y,t20,250,2.211440041572608,2.216746089983386
R_00x20y,t20,500,2.1185543566886302,2.2104938083844434
R_00x20y,t20,1000,1.8779081891794835,2.082545963290051
R_00x20y,t20,2000,2.0188694891591314,2.036487970270686
R_00x20y,t20,4000,1.7492404436901166,1.7577172925358613
R_00x20y,t20,8000,1.1546544929687,1.1963538692694566
R_15x40y,t20,63,2.4042264479123165,2.0904158479033854
R_15x40y,t20,125,5.24870473061876,2.2509145837692848
R_15x40y,t20,250,2.2362975029086773,2.245281447948517
R_15x40y,t20,500,2.04183443304955,2.2462476914550837
R_15x40y,t20,1000,1.8425500081023867,2.0922083538956193
R_15x40y,t20,2000,1.975355402317205,2.051844623720538
R_15x40y,t20,4000,1.6921628899740322,1.840174137049112
R_15x40y,t20,8000,1.1413500485963997,1.1956743788935005
R_30x00y,t20,63,2.5228254703312136,1.5355450332934961
R_30x00y,t20,125,4.5181704440481925,1.9656046956743278
R_30x00y,t20,250,2.5270500732315675,2.4287665959712452
R_30x00y,t20,500,2.0474574192894757,2.242052749935561
R_30x00y,t20,1000,1.900576150470351,2.021610801913566
R_30x00y,t20,2000,1.9494637000876818,2.0336274319663494
R_30x00y,t20,4000,1.7283309144215306,1.8177303179062403
R_30x00y,t20,8000,1.1190407202398613,1.2040626974323276
R_40x30y,t20,63,2.408793926515104,1.974248437115152
R_40x30y,t20,250,2.3088797109074415,2.109686776128921
R_40x30y,t20,500,2.269310960562598,2.2667272529743374
R_40x30y,t20,1000,1.906945453642093,2.1830012825471417
R_40x30y,t20,2000,2.00015735657735,2.052756666698869
R_40x30y,t20,4000,1.7134505406232012,1.7994202244729833
R_40x30y,t20,8000,1.1538209280348974,1.2123148807775892
R_60x15y,t20,63,2.482007554301767,1.8423074256321261
R_60x15y,t20,125,6.203911889674429,2.1382996388425886
R_60x15y,t20,250,2.1605912368237647,2.1865824092919737
R_60x15y,t20,500,2.1601015400130805,2.1777382068880065
R_60x15y,t20,1000,1.9201734173887237,2.125884585910141
R_60x15y,t20,2000,2.0170344827541955,2.0630277781939834
R_60x15y,t20,4000,1.7365657787420206,1.7805967675270313
R_60x15y,t20,8000,1.1573123959465188,1.183240950507313
