receiver,metric,band_hz,target,prediction
R_00x20y,t20,125,5.643971212346544,5.858370370164596
R_00x20y,t20,250,2.211440041572608,5.4706910547934156
R_00x20y,t20,500,2.1185543566886302,5.342658900189874
R_00x20y,t20,1000,1.8779081891794835,3.5861540211956346
R_00x20y,t20,2000,2.0188694891591314,3.6225468388418167
R_00x20y,t20,4000,1.7492404436901166,2.1513402513076207
R_00x20y,t20,8000,1.1546544929687,1.4396142273843962
R_15x40y,t20,125,5.24870473061876,5.66933748509187
R_15x40y,t20,250,2.2362975029086773,5.613871759965957
R_15x40y,t20,500,2.04183443304955,4.939292735083429
R_15x40y,t20,1000,1.8425500081023867,3.4350805296635634
R_15x40y,t20,2000,1.975355402317205,3.552116506799284
R_15x40y,t20,4000,1.6921628899740322,2.19965334056918
R_15x40y,t20,8000,1.1413500485963997,1.4717675581089187
R_30x00y,t20,125,4.5181704440481925,5.359086594733268
R_30x00y,t20,250,2.5270500732315675,6.026214345699047
R_30x00y,t20,500,2.0474574192894757,4.958579247832205
R_30x00y,t20,1000,1.900576150470351,3.6010551132109554
R_30x00y,t20,2000,1.9494637000876818,3.575658919529508
R_30x00y,t20,4000,1.7283309144215306,2.2331356769350337
R_30x00y,t20,8000,1.1190407202398613,1.4956950390142594
R_40x30y,t20,250,2.3088797109074415,5.578833155777743
R_40x30y,t20,500,2.269310960562598,5.429599005210801
R_40x30y,t20,1000,1.906945453642093,3.627405456217461
R_40x30y,t20,2000,2.00015735657735,3.588132139913902
R_40x30y,t20,4000,1.7134505406232012,2.1963392076673007
R_40x30y,t20,8000,1.1538209280348974,1.5044340891161945
R_60x15y,t20,125,6.203911889674429,6.7767828710745945
R_60x15y,t20,250,2.1605912368237647,5.554249398564648
R_60x15y,t20,500,2.1601015400130805,5.56996204934812
R_60x15y,t20,1000,1.9201734173887237,3.389639121217883
R_60x15y,t20,2000,2.0170344827541955,3.585338095943936
R_60x15y,t20,4000,1.7365657787420206,2.182809937530443
R_60x15y,t20,8000,1.1573123959465188,1.4589190648726602
