receiver,metric,band_hz,target,prediction
R_00x20y,t20,250,2.211440041572608,1.7527504287627036
R_00x20y,t20,500,2.1185543566886302,1.9274238849171126
R_00x20y,t20,1000,1.8779081891794835,3.194996929345708
R_00x20y,t20,2000,2.0188694891591314,1.9093162739426728
R_00x20y,t20,4000,1.7492404436901166,1.7337360956211938
R_00x20y,t20,8000,1.1546544929687,1.388450237927403
R_15x40y,t20,250,2.2362975029086773,1.7149660255830628
R_15x40y,t20,500,2.04183443304955,1.9830930285024273
R_15x40y,t20,1000,1.8425500081023867,3.0361404730970944
R_15x40y,t20,2000,1.975355402317205,1.958297174656903
R_15x40y,t20,4000,1.6921628899740322,1.698366388170928
R_15x40y,t20,8000,1.1413500485963997,1.4116593774448571
R_30x00y,t20,250,2.5270500732315675,2.0242577270637305
R_30x00y,t20,500,2.0474574192894757,2.0154238736768035
R_30x00y,t20,1000,1.900576150470351,3.0847776814819405
R_30x00y,t20,2000,1.9494637000876818,1.9180486610474208
R_30x00y,t20,4000,1.7283309144215306,1.774470889494008
R_30x00y,t20,8000,1.1190407202398613,1.4140166911968763
R_40x30y,t20,250,2.3088797109074415,1.5709811222580552
R_40x30y,t20,500,2.269310960562598,2.1147787849479216
R_40x30y,t20,1000,1.906945453642093,3.1425621120324796
R_40x30y,t20,2000,2.00015735657735,1.9746372804310472
R_40x30y,t20,4000,1.7134505406232012,1.7712613981898468
R_40x30y,t20,8000,1.1538209280348974,1.4134454039725666
R_60x15y,t20,250,2.1605912368237647,1.7104135344794416
R_60x15y,t20,500,2.1601015400130805,1.8644902349304184
R_60x15y,t20,1000,1.9201734173887237,3.146695759065586
R_60x15y,t20,2000,2.0170344827541955,1.9076600778216835
R_60x15y,t20,4000,1.7365657787420206,1.6969840080664207
R_60x15y,t20,8000,1.1573123959465188,1.3782312513808797
