receiver,metric,band_hz,target,prediction
R_00x20y,t20,125,5.643971212346544,2.0311825561384467
R_00x20y,t20,250,2.211440041572608,2.2167499788258587
R_00x20y,t20,500,2.1185543566886302,2.2104822864877867
R_00x20y,t20,1000,1.8779081891794835,2.082544374390207
R_00x20y,t20,2000,2.0188694891591314,2.0364848952098176
R_00x20y,t20,4000,1.7492404436901166,1.7577106342220268
R_00x20y,t20,8000,1.1546544929687,1.1963545573205578
R_15x40y,t20,125,5.24870473061876,2.2509152178661367
R_15x40y,t20,250,2.2362975029086773,2.245283589817552
R_15x40y,t20,500,2.04183443304955,2.246244642359846
R_15x40y,t20,1000,1.8425500081023867,2.0922030259940225
R_15x40y,t20,2000,1.975355402317205,2.0518451363352157
R_15x40y,t20,4000,1.6921628899740322,1.8401726279080366
R_15x40y,t20,8000,1.1413500485963997,1.1956726393437203
R_30x00y,t20,125,4.5181704440481925,1.965604900249551
R_30x00y,t20,250,2.5270500732315675,2.428768248365171
R_30x00y,t20,500,2.0474574192894757,2.2420364580194416
R_30x00y,t20,1000,1.900576150470351,2.0216106713317155
R_30x00y,t20,2000,1.9494637000876818,2.0336110698811742
R_30x00y,t20,4000,1.7283309144215306,1.8177335983019036
R_30x00y,t20,8000,1.1190407202398613,1.2040628241131122
R_40x30y,t20,250,2.3088797109074415,2.109684399530646
R_40x30y,t20,500,2.269310960562598,2.266729095111601
R_40x30y,t20,1000,1.906945453642093,2.183001430809156
R_40x30y,t20,2000,2.00015735657735,2.05274149003823
R_40x30y,t20,4000,1.7134505406232012,1.7994225470521348
R_40x30y,t20,8000,1.1538209280348974,1.2123142763860062
R_60x15y,t20,125,6.203911889674429,2.138299319313053
R_60x15y,t20,250,2.1605912368237647,2.186576786052491
R_60x15y,t20,500,2.1601015400130805,2.1777236949917995
R_60x15y,t20,1000,1.9201734173887237,2.125880130662365
R_60x15y,t20,2000,2.0170344827541955,2.063033335109132
R_60x15y,t20,4000,1.7365657787420206,1.7805961164854551
R_60x15y,t20,8000,1.1573123959465188,1.1832433625757937
