receiver,metric,band_hz,target,prediction
R_00x20y,t20,250,2.211440041572608,2.622679098104508
R_00x20y,t20,500,2.1185543566886302,2.473944842542401
R_00x20y,t20,1000,1.8779081891794835,2.0375366347141073
R_00x20y,t20,2000,2.0188694891591314,2.3588276136143214
R_00x20y,t20,4000,1.7492404436901166,2.5004071345054544
R_00x20y,t20,8000,1.1546544929687,1.5746143537542117
R_15x40y,t20,250,2.2362975029086773,2.7351663758732476
R_15x40y,t20,500,2.04183443304955,2.490688287272331
R_15x40y,t20,1000,1.8425500081023867,2.1840454305361257
R_15x40y,t20,2000,1.975355402317205,2.304074153681098
R_15x40y,t20,4000,1.6921628899740322,2.5382255477104927
R_15x40y,t20,8000,1.1413500485963997,1.5607904819521936
R_30x00y,t20,250,2.5270500732315675,2.9172136980239642
R_30x00y,t20,500,2.0474574192894757,2.533411462093651
R_30x00y,t20,1000,1.900576150470351,2.0873543303964657
R_30x00y,t20,2000,1.9494637000876818,2.340771096337052
R_30x00y,t20,4000,1.7283309144215306,2.6001871804281875
R_30x00y,t20,8000,1.1190407202398613,1.5691451492416488
R_40x30y,t20,250,2.3088797109074415,2.7180045219360713
R_40x30y,t20,500,2.269310960562598,2.5874915745528875
R_40x30y,t20,1000,1.906945453642093,2.0997981146852216
R_40x30y,t20,2000,2.00015735657735,2.341996247407489
R_40x30y,t20,4000,1.7134505406232012,2.610259299257839
R_40x30y,t20,8000,1.1538209280348974,1.5736942691947582
R_60x15y,t20,250,2.1605912368237647,2.84075732826101
R_60x15y,t20,500,2.1601015400130805,2.530360076311319
R_60x15y,t20,1000,1.9201734173887237,1.9756946742570964
R_60x15y,t20,2000,2.0170344827541955,2.3014406189912537
R_60x15y,t20,4000,1.7365657787420206,2.533298041332358
R_60x15y,t20,8000,1.1573123959465188,1.5029922723657343
