receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,1.8707190707764285
R_00x20y,t20,125,5.643971212346544,2.03118255613846
R_00x20y,t20,250,2.211440041572608,2.2167499788257303
R_00x20y,t20,500,2.1185543566886302,2.2104821646022557
R_00x20y,t20,1000,1.8779081891794835,2.082543088326957
R_00x20y,t20,2000,2.0188694891591314,2.0364879839555203
R_00x20y,t20,4000,1.7492404436901166,1.7577204351503288
R_00x20y,t20,8000,1.1546544929687,1.1963551577108213
R_15x40y,t20,63,2.4042264479123165,2.090415846259549
R_15x40y,t20,125,5.24870473061876,2.2509152178661713
R_15x40y,t20,250,2.2362975029086773,2.2452835898201737
R_15x40y,t20,500,2.04183443304955,2.2462447432525225
R_15x40y,t20,1000,1.8425500081023867,2.092199729008828
R_15x40y,t20,2000,1.975355402317205,2.051846022938196
R_15x40y,t20,4000,1.6921628899740322,1.8401730193235604
R_15x40y,t20,8000,1.1413500485963997,1.1956719592248723
R_30x00y,t20,63,2.5228254703312136,1.5355450344516242
R_30x00y,t20,125,4.5181704440481925,1.9656049002495224
R_30x00y,t20,250,2.5270500732315675,2.428768248365841
R_30x00y,t20,500,2.0474574192894757,2.242036504256042
R_30x00y,t20,1000,1.900576150470351,2.021610961573834
R_30x00y,t20,2000,1.9494637000876818,2.033627321680072
R_30x00y,t20,4000,1.7283309144215306,1.817728597753868
R_30x00y,t20,8000,1.1190407202398613,1.2040618931966514
R_40x30y,t20,63,2.408793926515104,1.9742484405663763
R_40x30y,t20,250,2.3088797109074415,2.1096843995313415
R_40x30y,t20,500,2.269310960562598,2.266729404833978
R_40x30y,t20,1000,1.906945453642093,2.1830025181881436
R_40x30y,t20,2000,2.00015735657735,2.0527594131639444
R_40x30y,t20,4000,1.7134505406232012,1.7994247558851577
R_40x30y,t20,8000,1.1538209280348974,1.2123150390661988
R_60x15y,t20,63,2.482007554301767,1.8423074334793652
R_60x15y,t20,125,6.203911889674429,2.138299319313071
R_60x15y,t20,250,2.1605912368237647,2.1865767860516487
R_60x15y,t20,500,2.1601015400130805,2.177723518387605
R_60x15y,t20,1000,1.9201734173887237,2.1258897224505673
R_60x15y,t20,2000,2.0170344827541955,2.0630372978516904
R_60x15y,t20,4000,1.7365657787420206,1.7805977658399994
R_60x15y,t20,8000,1.1573123959465188,1.183243180117252
