receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,1.8707190707765036
R_00x20y,t20,125,5.643971212346544,2.031182556138468
R_00x20y,t20,250,2.211440041572608,2.216749978826432
R_00x20y,t20,500,2.1185543566886302,2.2104825665809633
R_00x20y,t20,1000,1.8779081891794835,2.0825431205415326
R_00x20y,t20,2000,2.0188694891591314,2.0364894733300805
R_00x20y,t20,4000,1.7492404436901166,1.7577189494606047
R_00x20y,t20,8000,1.1546544929687,1.1963540762739129
R_15x40y,t20,63,2.4042264479123165,2.0904158462594586
R_15x40y,t20,125,5.24870473061876,2.25091521786613
R_15x40y,t20,250,2.2362975029086773,2.245283589820643
R_15x40y,t20,500,2.04183443304955,2.2462446166084296
R_15x40y,t20,1000,1.8425500081023867,2.0921987535497766
R_15x40y,t20,2000,1.975355402317205,2.051843992805085
R_15x40y,t20,4000,1.6921628899740322,1.8401727266591579
R_15x40y,t20,8000,1.1413500485963997,1.1956650848161037
R_30x00y,t20,63,2.5228254703312136,1.5355450344516524
R_30x00y,t20,125,4.5181704440481925,1.9656049002495475
R_30x00y,t20,250,2.5270500732315675,2.428768248364652
R_30x00y,t20,500,2.0474574192894757,2.242037086031135
R_30x00y,t20,1000,1.900576150470351,2.0216088415673448
R_30x00y,t20,2000,1.9494637000876818,2.033634555584412
R_30x00y,t20,4000,1.7283309144215306,1.8177299851740105
R_30x00y,t20,8000,1.1190407202398613,1.2040618975547432
R_40x30y,t20,63,2.408793926515104,1.9742484405662417
R_40x30y,t20,250,2.3088797109074415,2.109684399531035
R_40x30y,t20,500,2.269310960562598,2.2667295771701292
R_40x30y,t20,1000,1.906945453642093,2.1829970135129377
R_40x30y,t20,2000,2.00015735657735,2.0527561300895716
R_40x30y,t20,4000,1.7134505406232012,1.7994252562826372
R_40x30y,t20,8000,1.1538209280348974,1.2123151834284032
R_60x15y,t20,63,2.482007554301767,1.842307433479339
R_60x15y,t20,125,6.203911889674429,2.138299319313113
R_60x15y,t20,250,2.1605912368237647,2.186576786052791
R_60x15y,t20,500,2.1601015400130805,2.1777235025557493
R_60x15y,t20,1000,1.9201734173887237,2.1258845799547537
R_60x15y,t20,2000,2.0170344827541955,2.063033204206846
R_60x15y,t20,4000,1.7365657787420206,1.7806175201644747
R_60x15y,t20,8000,1.1573123959465188,1.183242606746723
