receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,1.870720079107797
R_00x20y,t20,125,5.643971212346544,2.031181941071074
R_00x20y,t20,250,2.211440041572608,2.2167437334360938
R_00x20y,t20,500,2.1185543566886302,2.2105037960952463
R_00x20y,t20,1000,1.8779081891794835,2.0825421693631747
R_00x20y,t20,2000,2.0188694891591314,2.036487248735367
R_00x20y,t20,4000,1.7492404436901166,1.757718793347006
R_00x20y,t20,8000,1.1546544929687,1.196355532475157
R_15x40y,t20,63,2.4042264479123165,2.090416476312962
R_15x40y,t20,125,5.24870473061876,2.2509144960413647
R_15x40y,t20,250,2.2362975029086773,2.245280623146087
R_15x40y,t20,500,2.04183443304955,2.2462543093127727
R_15x40y,t20,1000,1.8425500081023867,2.0922060370119957
R_15x40y,t20,2000,1.975355402317205,2.0518450206733907
R_15x40y,t20,4000,1.6921628899740322,1.8401748352545546
R_15x40y,t20,8000,1.1413500485963997,1.1956729988735892
R_30x00y,t20,63,2.5228254703312136,1.5355452369127247
R_30x00y,t20,125,4.5181704440481925,1.9656039504122573
R_30x00y,t20,250,2.5270500732315675,2.4287651481937544
R_30x00y,t20,500,2.0474574192894757,2.2420709919762265
R_30x00y,t20,1000,1.900576150470351,2.021613925346971
R_30x00y,t20,2000,1.9494637000876818,2.0336284845059933
R_30x00y,t20,4000,1.7283309144215306,1.8177317034732672
R_30x00y,t20,8000,1.1190407202398613,1.2040629560607268
R_40x30y,t20,63,2.408793926515104,1.9742489069051372
R_40x30y,t20,250,2.3088797109074415,2.109690126935187
R_40x30y,t20,500,2.269310960562598,2.2667280091277897
R_40x30y,t20,1000,1.906945453642093,2.1830063787893734
R_40x30y,t20,2000,2.00015735657735,2.052755977330351
R_40x30y,t20,4000,1.7134505406232012,1.7994234152761555
R_40x30y,t20,8000,1.1538209280348974,1.2123152844730956
R_60x15y,t20,63,2.482007554301767,1.8423079784378373
R_60x15y,t20,125,6.203911889674429,2.1382973406695513
R_60x15y,t20,250,2.1605912368237647,2.1865885881760723
R_60x15y,t20,500,2.1601015400130805,2.1777530432447687
R_60x15y,t20,1000,1.9201734173887237,2.125887915833478
R_60x15y,t20,2000,2.0170344827541955,2.063037630971351
R_60x15y,t20,4000,1.7365657787420206,1.7805999649191762
R_60x15y,t20,8000,1.1573123959465188,1.1832449298658352
