receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,2.102889519177917
R_00x20y,t20,125,5.643971212346544,1.9554170841628296
R_00x20y,t20,250,2.211440041572608,1.7851900176209998
R_00x20y,t20,500,2.1185543566886302,1.5801681822180742
R_00x20y,t20,1000,1.8779081891794835,1.398430901864729
R_00x20y,t20,2000,2.0188694891591314,1.3722118449523877
R_00x20y,t20,4000,1.7492404436901166,1.222418148730553
R_00x20y,t20,8000,1.1546544929687,0.8550289581301586
R_15x40y,t20,63,2.4042264479123165,2.2913742331547553
R_15x40y,t20,125,5.24870473061876,2.2181253564283776
R_15x40y,t20,250,2.2362975029086773,1.7989906298548963
R_15x40y,t20,500,2.04183443304955,1.6642535018655404
R_15x40y,t20,1000,1.8425500081023867,1.3183642601961132
R_15x40y,t20,2000,1.975355402317205,1.3664686101941514
R_15x40y,t20,4000,1.6921628899740322,1.2300141865401915
R_15x40y,t20,8000,1.1413500485963997,0.8488595289882453
R_30x00y,t20,63,2.5228254703312136,1.9218807447667519
R_30x00y,t20,125,4.5181704440481925,1.7574498993851695
R_30x00y,t20,250,2.5270500732315675,2.0477277591120098
R_30x00y,t20,500,2.0474574192894757,1.5347258803976755
R_30x00y,t20,1000,1.900576150470351,1.4552295041711296
R_30x00y,t20,2000,1.9494637000876818,1.393204371980823
R_30x00y,t20,4000,1.7283309144215306,1.251648683798261
R_30x00y,t20,8000,1.1190407202398613,0.861898204431202
R_40x30y,t20,63,2.408793926515104,2.19571290151036
R_40x30y,t20,250,2.3088797109074415,1.6565081845765341
R_40x30y,t20,500,2.269310960562598,1.590636458297451
R_40x30y,t20,1000,1.906945453642093,1.4283282294713593
R_40x30y,t20,2000,2.00015735657735,1.3871764964369644
R_40x30y,t20,4000,1.7134505406232012,1.2270219442051364
R_40x30y,t20,8000,1.1538209280348974,0.8570829458497484
R_60x15y,t20,63,2.482007554301767,2.055466552727586
R_60x15y,t20,125,6.203911889674429,1.9589561500136579
R_60x15y,t20,250,2.1605912368237647,1.718469087930703
R_60x15y,t20,500,2.1601015400130805,1.5341249267348316
R_60x15y,t20,1000,1.9201734173887237,1.4001776601829272
R_60x15y,t20,2000,2.0170344827541955,1.3947371229552838
R_60x15y,t20,4000,1.7365657787420206,1.2385099648553992
R_60x15y,t20,8000,1.1573123959465188,0.848057094197715
