receiver,metric,band_hz,target,prediction
R_00x20y,t20,125,5.643971212346544,2.0311825561384436
R_00x20y,t20,250,2.211440041572608,2.216749978826944
R_00x20y,t20,500,2.1185543566886302,2.210482625154297
R_00x20y,t20,1000,1.8779081891794835,2.0825440919915184
R_00x20y,t20,2000,2.0188694891591314,2.0364851873003498
R_00x20y,t20,4000,1.7492404436901166,1.7577193333368684
R_00x20y,t20,8000,1.1546544929687,1.1963539784206014
R_15x40y,t20,125,5.24870473061876,2.2509152178661616
R_15x40y,t20,250,2.2362975029086773,2.2452835898205867
R_15x40y,t20,500,2.04183443304955,2.2462442430469385
R_15x40y,t20,1000,1.8425500081023867,2.092202076409778
R_15x40y,t20,2000,1.975355402317205,2.0518447707818717
R_15x40y,t20,4000,1.6921628899740322,1.8401640902030794
R_15x40y,t20,8000,1.1413500485963997,1.195671637226218
R_30x00y,t20,125,4.5181704440481925,1.9656049002495566
R_30x00y,t20,250,2.5270500732315675,2.4287682483663313
R_30x00y,t20,500,2.0474574192894757,2.2420364646837596
R_30x00y,t20,1000,1.900576150470351,2.0216131045341363
R_30x00y,t20,2000,1.9494637000876818,2.0336217453739494
R_30x00y,t20,4000,1.7283309144215306,1.8177265314201254
R_30x00y,t20,8000,1.1190407202398613,1.204062336334718
R_40x30y,t20,250,2.3088797109074415,2.109684399531295
R_40x30y,t20,500,2.269310960562598,2.26672915461999
R_40x30y,t20,1000,1.906945453642093,2.182998841758746
R_40x30y,t20,2000,2.00015735657735,2.052759711031342
R_40x30y,t20,4000,1.7134505406232012,1.7994185230751358
R_40x30y,t20,8000,1.1538209280348974,1.2123153427568725
R_60x15y,t20,125,6.203911889674429,2.1382993193130346
R_60x15y,t20,250,2.1605912368237647,2.1865767860517313
R_60x15y,t20,500,2.1601015400130805,2.177723453542849
R_60x15y,t20,1000,1.9201734173887237,2.125893281771126
R_60x15y,t20,2000,2.0170344827541955,2.063036591619525
R_60x15y,t20,4000,1.7365657787420206,1.7805962362758112
R_60x15y,t20,8000,1.1573123959465188,1.1832446278470146
