receiver,metric,band_hz,target
R_00x30y,c80,2000,-2.0406405078078063
R_00x30y,c80,4000,-1.6830791460044412
R_00x30y,c80,8000,2.3145031216770375
R_00x35y,edt,63,2.1262256967560105
R_00x35y,edt,125,11.96708932744085
R_00x35y,edt,250,2.083705376844314
R_00x35y,edt,500,2.025036327001513
R_00x35y,edt,1000,1.868573179689617
R_00x35y,edt,2000,1.8454750039752315
R_00x35y,edt,4000,1.6832276793696834
R_00x35y,edt,8000,1.0051180211753585
R_00x35y,t20,63,2.9483468144921483
R_00x35y,t20,250,2.2994055328579033
R_00x35y,t20,500,2.0603866298690274
R_00x35y,t20,1000,1.9046222437823266
R_00x35y,t20,2000,2.025076167729813
R_00x35y,t20,4000,1.7650000007062523
R_00x35y,t20,8000,1.181033690882517
R_00x35y,c50,63,-17.985093874931508
R_00x35y,c50,125,-3.8493762080166922
R_00x35y,c50,250,-7.56057618549161
R_00x35y,c50,500,-6.701266223561872
R_00x35y,c50,1000,-4.453002611248888
R_00x35y,c50,2000,-6.096826034744632
R_00x35y,c50,4000,-3.8512502406905464
R_00x35y,c50,8000,-1.0654869915471648
R_00x35y,c80,63,-11.807484917715577
R_00x35y,c80,125,-3.007139327485755
R_00x35y,c80,250,-3.6443168657349405
R_00x35y,c80,500,-3.234749402493306
R_00x35y,c80,1000,-1.7498614481293018
R_00x35y,c80,2000,-2.96503948028078
R_00x35y,c80,4000,-0.58949581808192
R_00x35y,c80,8000,2.6571803920113317
R_00x40y,edt,63,2.0265541223213104
R_00x40y,edt,125,8.416691320494179
R_00x40y,edt,250,1.9428925389975762
R_00x40y,edt,500,2.2166941324767038
R_00x40y,edt,1000,1.800201158005962
R_00x40y,edt,2000,1.9767522954046763
R_00x40y,edt,4000,1.5447728914121102
R_00x40y,edt,8000,0.9848369043192212
R_00x40y,t20,63,2.736579288694877
R_00x40y,t20,125,8.494376763201403
R_00x40y,t20,250,2.268750810244391
R_00x40y,t20,500,2.060620597800301
R_00x40y,t20,1000,1.9095584365079243
R_00x40y,t20,2000,1.9732003148955026
R_00x40y,t20,4000,1.7499858476750476
R_00x40y,t20,8000,1.1824125119233913
R_00x40y,c50,63,-21.6587899175587
R_00x40y,c50,125,-11.884364496990319
R_00x40y,c50,250,-8.500388515922712
R_00x40y,c50,500,-5.778963844105695
R_00x40y,c50,1000,-5.153799934098588
R_00x40y,c50,2000,-5.680823662212994
R_00x40y,c50,4000,-3.749463634625871
R_00x40y,c50,8000,-1.1094154258214601
R_00x40y,c80,63,-12.866270409416114
R_00x40y,c80,125,-9.267486604524795
R_00x40y,c80,250,-6.524891815042863
R_00x40y,c80,500,-3.4407988423644764
R_00x40y,c80,1000,-1.958661421835906
R_00x40y,c80,2000,-2.6322280162355542
R_00x40y,c80,4000,-0.6769315245238945
R_00x40y,c80,8000,2.283694476876571
R_00x45y,edt,63,1.9895032920790667
R_00x45y,edt,125,10.010029245332834
R_00x45y,edt,250,1.8336376839728652
R_00x45y,edt,500,2.1002623345051656
R_00x45y,edt,1000,1.8808595681131457
R_00x45y,edt,2000,2.0097066590663206
R_00x45y,edt,4000,1.6615599323078984
R_00x45y,edt,8000,0.9802817387767827
R_00x45y,t20,63,2.9862846792523436
R_00x45y,t20,250,2.2628168290861086
R_00x45y,t20,500,2.150747209921708
R_00x45y,t20,1000,1.8391473689909328
R_00x45y,t20,2000,1.9933697593465434
R_00x45y,t20,4000,1.7372287214555566
R_00x45y,t20,8000,1.1849399334681054
R_00x45y,c50,63,-18.188792084245136
R_00x45y,c50,125,-8.02242216739253
R_00x45y,c50,250,-10.094646834267975
R_00x45y,c50,500,-7.501808714066661
R_00x45y,c50,1000,-5.222260381020768
R_00x45y,c50,2000,-5.775875845300646
R_00x45y,c50,4000,-4.404639273351237
R_00x45y,c50,8000,-0.9622289913569121
R_00x45y,c80,63,-11.943907162009836
R_00x45y,c80,125,-6.9023269777452505
R_00x45y,c80,250,-5.102346379028864
R_00x45y,c80,500,-2.8861734035569677
R_00x45y,c80,1000,-1.8266698411241045
R_00x45y,c80,2000,-2.417860766409729
R_00x45y,c80,4000,-1.1599465528270192
R_00x45y,c80,8000,2.3435931919952826
R_05x00y,edt,63,1.6462294657699241
R_05x00y,edt,125,13.33415293861598
R_05x00y,edt,250,1.9480111728442242
R_05x00y,edt,500,1.6667121045256266
R_05x00y,edt,1000,1.859862759153388
R_05x00y,edt,2000,1.9889401266976383
R_05x00y,edt,4000,1.643780374661843
R_05x00y,edt,8000,1.0734624994396234
R_05x00y,t20,63,2.494835909844338
R_05x00y,t20,250,2.2563277265095905
R_05x00y,t20,500,2.002623294139207
R_05x00y,t20,1000,1.8109442428342508
R_05x00y,t20,2000,1.992518887427342
R_05x00y,t20,4000,1.747884033402224
R_05x00y,t20,8000,1.1589853968824229
R_05x00y,c50,63,-5.880176944867415
R_05x00y,c50,125,-6.972220390764549
R_05x00y,c50,250,-4.132245155485999
R_05x00y,c50,500,-6.614116162358278
R_05x00y,c50,1000,-5.546830568136743
R_05x00y,c50,2000,-4.925508814218392
R_05x00y,c50,4000,-5.587123430158611
R_05x00y,c50,8000,-2.9038936177985586
R_05x00y,c80,63,-1.5275893161700373
R_05x00y,c80,125,-4.986104131136034
R_05x00y,c80,250,-1.9926439303135224
R_05x00y,c80,500,-4.449386553410393
R_05x00y,c80,1000,-2.239417529968683
R_05x00y,c80,2000,-1.3685513260451854
R_05x00y,c80,4000,-1.0339636349855648
R_05x00y,c80,8000,0.9560743579717392
R_05x05y,edt,63,1.6779956256867161
R_05x05y,edt,125,11.457132737554243
R_05x05y,edt,250,2.1444589376589627
R_05x05y,edt,500,2.0225213740384036
R_05x05y,edt,1000,1.7877969561959308
R_05x05y,edt,2000,2.0473474082788834
R_05x05y,edt,4000,1.7136016824058151
R_05x05y,edt,8000,1.058131667148577
R_05x05y,t20,63,2.5776393357025627
R_05x05y,t20,125,5.828179281116864
R_05x05y,t20,250,2.1995565569902684
R_05x05y,t20,500,2.010159014916279
R_05x05y,t20,1000,1.8186416536085475
R_05x05y,t20,2000,1.913079138197588
R_05x05y,t20,4000,1.6790445699747933
R_05x05y,t20,8000,1.1520149168062113
R_05x05y,c50,63,-8.438174561623574
R_05x05y,c50,125,-10.660135911802012
R_05x05y,c50,250,-6.825315568390733
R_05x05y,c50,500,-4.604544942386271
R_05x05y,c50,1000,-5.118217926362219
R_05x05y,c50,2000,-5.168619734953809
R_05x05y,c50,4000,-4.431816610483316
R_05x05y,c50,8000,-2.213656377844769
R_05x05y,c80,63,-3.091003565835832
R_05x05y,c80,125,-7.770489362252401
R_05x05y,c80,250,-4.0914717806483285
R_05x05y,c80,500,-2.8101213766175244
R_05x05y,c80,1000,-0.958052053737833
R_05x05y,c80,2000,-2.1574900040202647
R_05x05y,c80,4000,-1.3446463156704136
R_05x05y,c80,8000,1.295005607600637
R_05x10y,edt,63,1.6509855446478594
R_05x10y,edt,125,9.885553091807102
R_05x10y,edt,250,2.1787263512445496
R_05x10y,edt,500,2.150591938032923
R_05x10y,edt,1000,1.9485761308634393
R_05x10y,edt,2000,1.8733139228441618
R_05x10y,edt,4000,1.636233794590525
R_05x10y,edt,8000,1.0921961672509128
R_05x10y,t20,63,2.841955988083523
R_05x10y,t20,125,5.63777879656359
R_05x10y,t20,250,2.0804798766948935
R_05x10y,t20,500,1.977566882127656
R_05x10y,t20,1000,1.9132828711263135
R_05x10y,t20,2000,2.040514190771415
R_05x10y,t20,4000,1.7176517810693173
R_05x10y,t20,8000,1.1443097232022672
R_05x10y,c50,63,-10.4173087354681
R_05x10y,c50,125,-15.010443897330102
R_05x10y,c50,250,-7.6513350684628145
R_05x10y,c50,500,-5.364487877281357
R_05x10y,c50,1000,-4.144971919260661
R_05x10y,c50,2000,-5.281986906638888
R_05x10y,c50,4000,-3.4225472374578
R_05x10y,c50,8000,-1.8282758486962538
R_05x10y,c80,63,-3.9065592353987015
R_05x10y,c80,125,-5.794175204661273
R_05x10y,c80,250,-3.578146462707226
R_05x10y,c80,500,-3.71967792246735
R_05x10y,c80,1000,-1.1107335394022397
R_05x10y,c80,2000,-2.7624881783623847
R_05x10y,c80,4000,-0.4791497516130658
R_05x10y,c80,8000,1.8702106288374012
R_05x15y,edt,63,1.678429337622238
R_05x15y,edt,125,10.440788071792495
R_05x15y,edt,250,1.8856962866621094
R_05x15y,edt,500,1.9529167175213167
R_05x15y,edt,1000,1.8921870479478855
R_05x15y,edt,2000,1.9536365205732131
R_05x15y,edt,4000,1.645089914404965
R_05x15y,edt,8000,1.1018625606630428
R_05x15y,t20,63,2.8363184054055304
R_05x15y,t20,125,6.581405329600182
R_05x15y,t20,250,2.2853470533072575
R_05x15y,t20,500,1.9668354128985712
R_05x15y,t20,1000,1.833946349215211
R_05x15y,t20,2000,2.0054535494580334
R_05x15y,t20,4000,1.702333939208224
R_05x15y,t20,8000,1.1547702782692766
R_05x15y,c50,63,-11.127804296713585
R_05x15y,c50,125,-14.936278070854348
R_05x15y,c50,250,-5.57024777173279
R_05x15y,c50,500,-3.8136752711328765
R_05x15y,c50,1000,-3.9897094004279774
R_05x15y,c50,2000,-4.6050577956673635
R_05x15y,c50,4000,-3.7494735111600956
R_05x15y,c50,8000,-1.5117279166015665
R_05x15y,c80,63,-4.1505845947624636
R_05x15y,c80,125,-4.624424635493331
R_05x15y,c80,250,-2.819339927791939
R_05x15y,c80,500,-2.078352604174057
R_05x15y,c80,1000,-1.916862343771362
R_05x15y,c80,2000,-1.883248703410524
R_05x15y,c80,4000,-0.5137579676364936
R_05x15y,c80,8000,2.2748058377528375
R_05x20y,edt,63,1.962693973168285
R_05x20y,edt,125,10.77819730360633
R_05x20y,edt,250,2.2078172924664186
R_05x20y,edt,500,2.0902133018183218
R_05x20y,edt,1000,1.8412505715420544
R_05x20y,edt,2000,1.9624706403823953
R_05x20y,edt,4000,1.6483643292955157
R_05x20y,edt,8000,1.0747940355106755
R_05x20y,t20,63,2.8288712437475505
R_05x20y,t20,250,2.172604753368816
R_05x20y,t20,500,2.1025177913298774
R_05x20y,t20,1000,1.8499449723341548
R_05x20y,t20,2000,1.9360231866125963
R_05x20y,t20,4000,1.7124696096632313
R_05x20y,t20,8000,1.1574331583259792
R_05x20y,c50,63,-9.771226842785074
R_05x20y,c50,125,-13.27191207885597
R_05x20y,c50,250,-7.642967481001498
R_05x20y,c50,500,-4.126507652556432
R_05x20y,c50,1000,-4.349980669026067
R_05x20y,c50,2000,-5.115964513031352
R_05x20y,c50,4000,-3.5365665459792304
R_05x20y,c50,8000,-1.7593568548909237
R_05x20y,c80,63,-4.416157215377496
R_05x20y,c80,125,-6.457897020128512
R_05x20y,c80,250,-1.2220868920192633
R_05x20y,c80,500,-1.6510047771982839
R_05x20y,c80,1000,-1.6635704243946992
R_05x20y,c80,2000,-2.9875604665449167
R_05x20y,c80,4000,-0.4549855837339611
R_05x20y,c80,8000,2.421454777565851
R_05x25y,edt,63,2.1792003447111354
R_05x25y,edt,125,8.443058949143966
R_05x25y,edt,250,2.3204780178435613
R_05x25y,edt,500,1.8437985849802483
R_05x25y,edt,1000,1.5720295467134706
R_05x25y,edt,2000,1.8965905601243784
R_05x25y,edt,4000,1.7213005079716628
R_05x25y,edt,8000,0.9757041688916941
R_05x25y,t20,63,2.926321453545208
R_05x25y,t20,125,6.58779551620773
R_05x25y,t20,250,2.15171278177229
R_05x25y,t20,500,2.0714770010188395
R_05x25y,t20,1000,1.96198325919282
R_05x25y,t20,2000,1.9895565026643633
R_05x25y,t20,4000,1.7077750179055762
R_05x25y,t20,8000,1.15235993305866
R_05x25y,c50,63,-9.360604890086448
R_05x25y,c50,125,-9.18175528252336
R_05x25y,c50,250,-6.934583527560533
R_05x25y,c50,500,-8.111694336488798
R_05x25y,c50,1000,-4.9807791610431735
R_05x25y,c50,2000,-4.853008530238388
R_05x25y,c50,4000,-3.211080738070687
R_05x25y,c50,8000,-0.8531382747334749
R_05x25y,c80,63,-5.8212559210328765
R_05x25y,c80,125,-5.0635892702337735
R_05x25y,c80,250,-1.8063962419344204
R_05x25y,c80,500,-3.4865321554277062
R_05x25y,c80,1000,-1.8741489193597607
R_05x25y,c80,2000,-1.912515152873221
R_05x25y,c80,4000,-0.4539724940718479
R_05x25y,c80,8000,3.1958399727009685
R_05x30y,edt,63,2.3022776546323813
R_05x30y,edt,125,8.988559627348941
R_05x30y,edt,250,2.079556689943001
R_05x30y,edt,500,1.9280118111668785
R_05x30y,edt,1000,1.7535248706766193
R_05x30y,edt,2000,1.9747849336145649
R_05x30y,edt,4000,1.685783355190536
R_05x30y,edt,8000,1.0050870900433286
R_05x30y,t20,63,2.9579404414999533
R_05x30y,t20,250,2.200855491847271
R_05x30y,t20,500,2.060168557219122
R_05x30y,t20,1000,1.867365171816639
R_05x30y,t20,2000,1.8872637964575947
R_05x30y,t20,4000,1.652398794720957
R_05x30y,t20,8000,1.159847510219689
R_05x30y,c50,63,-11.28008561411827
R_05x30y,c50,125,-7.040524858274527
R_05x30y,c50,250,-6.355549715046585
R_05x30y,c50,500,-5.860308900785473
R_05x30y,c50,1000,-4.591769547878138
R_05x30y,c50,2000,-5.524870653461691
R_05x30y,c50,4000,-3.7255042942204435
R_05x30y,c50,8000,-0.962838494709171
R_05x30y,c80,63,-8.252642176013914
R_05x30y,c80,125,-3.8250035167977394
R_05x30y,c80,250,-3.088276008344067
R_05x30y,c80,500,-2.581628085459485
R_05x30y,c80,1000,-2.0808008066228654
R_05x30y,c80,2000,-2.6394216959880112
R_05x30y,c80,4000,-0.9657041557841016
R_05x30y,c80,8000,2.6254685655266927
R_05x35y,edt,63,2.3394468294696025
R_05x35y,edt,125,9.917169758888981
R_05x35y,edt,250,2.2212299313465538
R_05x35y,edt,500,1.9923313376247025
R_05x35y,edt,1000,1.6696057204260188
R_05x35y,edt,2000,1.9761169135655725
R_05x35y,edt,4000,1.6383127300191749
R_05x35y,edt,8000,0.97106441366617
R_05x35y,t20,63,2.7803008805092317
R_05x35y,t20,250,2.1402074979557537
R_05x35y,t20,500,2.0617057889031885
R_05x35y,t20,1000,1.864186725369072
R_05x35y,t20,2000,1.9998069319606213
R_05x35y,t20,4000,1.717783214352202
R_05x35y,t20,8000,1.1573878020932942
R_05x35y,c50,63,-18.32177070886756
R_05x35y,c50,125,-5.53417919271676
R_05x35y,c50,250,-5.364835615866142
R_05x35y,c50,500,-7.231190987656437
R_05x35y,c50,1000,-4.97069926331922
R_05x35y,c50,2000,-4.753686824501663
R_05x35y,c50,4000,-3.0943083634545925
R_05x35y,c50,8000,-1.2546509884255923
R_05x35y,c80,63,-11.254321106086389
R_05x35y,c80,125,-4.23442039639282
R_05x35y,c80,250,-1.5543236229258097
R_05x35y,c80,500,-4.561596783884611
R_05x35y,c80,1000,-1.6207294746068293
R_05x35y,c80,2000,-1.9419581875288459
R_05x35y,c80,4000,-0.6524237004344667
R_05x35y,c80,8000,2.4508624507669183
R_05x40y,edt,63,2.314428377734622
R_05x40y,edt,125,6.7686194028715985
R_05x40y,edt,250,2.1079319830324454
R_05x40y,edt,500,2.030486714804909
R_05x40y,edt,1000,1.8047221031082106
R_05x40y,edt,2000,1.951239315330253
R_05x40y,edt,4000,1.6641495200304053
R_05x40y,edt,8000,0.9897712499063421
R_05x40y,t20,63,2.642719877292794
R_05x40y,t20,125,6.24174946198251
R_05x40y,t20,250,2.069032330078119
R_05x40y,t20,500,2.03590137469008
R_05x40y,t20,1000,1.9212721986231394
R_05x40y,t20,2000,2.012803116811965
R_05x40y,t20,4000,1.6978110524120067
R_05x40y,t20,8000,1.1547571738369165
R_05x40y,c50,63,-23.05406943624202
R_05x40y,c50,125,-12.984446935793823
R_05x40y,c50,250,-7.563659908907646
R_05x40y,c50,500,-5.0147265205954685
R_05x40y,c50,1000,-6.113725636139713
R_05x40y,c50,2000,-4.547425566961243
R_05x40y,c50,4000,-3.225924225743282
R_05x40y,c50,8000,-0.15501225948453407
R_05x40y,c80,63,-11.236387654053848
R_05x40y,c80,125,-9.512279869846207
R_05x40y,c80,250,-4.338591626756204
R_05x40y,c80,500,-2.483565724407867
R_05x40y,c80,1000,-0.8471280432945172
R_05x40y,c80,2000,-2.370840061120899
R_05x40y,c80,4000,-0.6477294298952098
R_05x40y,c80,8000,2.7951118794138248
R_05x45y,edt,63,2.26489723115986
R_05x45y,edt,125,8.586389004895835
R_05x45y,edt,250,2.255150752431535
R_05x45y,edt,500,2.2354610925970815
R_05x45y,edt,1000,1.7391417114873804
R_05x45y,edt,2000,1.9952434343822385
R_05x45y,edt,4000,1.5657533159245907
R_05x45y,edt,8000,0.9348596707112032
R_05x45y,t20,63,2.745739983973117
R_05x45y,t20,125,6.147953428352561
R_05x45y,t20,250,2.4009629965794925
R_05x45y,t20,500,1.878881452075622
R_05x45y,t20,1000,1.9142427513003661
R_05x45y,t20,2000,2.0181401882046175
R_05x45y,t20,4000,1.7400153615854896
R_05x45y,t20,8000,1.1797441763680458
R_05x45y,c50,63,-18.427786766976524
R_05x45y,c50,125,-8.066357834484236
R_05x45y,c50,250,-7.68948765884673
R_05x45y,c50,500,-7.175015263302514
R_05x45y,c50,1000,-5.0562011861801315
R_05x45y,c50,2000,-4.002137680099542
R_05x45y,c50,4000,-3.034856523446611
R_05x45y,c50,8000,-1.7256072095581199
R_05x45y,c80,63,-10.04845478687685
R_05x45y,c80,125,-7.01107433843355
R_05x45y,c80,250,-3.9673838867727724
R_05x45y,c80,500,-3.176545030403077
R_05x45y,c80,1000,-1.4818424722014427
R_05x45y,c80,2000,-1.7806274430000122
R_05x45y,c80,4000,-0.348163531148542
R_05x45y,c80,8000,2.441295999965794
R_10x00y,edt,63,1.6674536579304695
R_10x00y,edt,125,10.403413181644922
R_10x00y,edt,250,1.9233751647826227
R_10x00y,edt,500,2.0625015243563225
R_10x00y,edt,1000,1.8991956887665131
R_10x00y,edt,2000,2.0164500673845085
R_10x00y,edt,4000,1.6138642349573231
R_10x00y,edt,8000,1.0111767339798172
R_10x00y,t20,63,2.651764715697991
R_10x00y,t20,125,7.119138608292051
R_10x00y,t20,250,2.2357541292262044
R_10x00y,t20,500,2.076319936299876
R_10x00y,t20,1000,1.862069487931258
R_10x00y,t20,2000,1.976982665429658
R_10x00y,t20,4000,1.720393789122377
R_10x00y,t20,8000,1.1507590610308782
R_10x00y,c50,63,-6.684598888502343
R_10x00y,c50,125,-9.882777983256275
R_10x00y,c50,250,-3.906382988366328
