receiver,metric,band_hz,target,prediction
R_00x20y,t20,250,2.211440041572608,0.9281380236734096
R_00x20y,t20,500,2.1185543566886302,0.6702631465743875
R_00x20y,t20,1000,1.8779081891794835,1.2108372744651592
R_00x20y,t20,2000,2.0188694891591314,1.4911561688902264
R_00x20y,t20,4000,1.7492404436901166,1.3307927116947018
R_00x20y,t20,8000,1.1546544929687,0.7614469977005527
R_15x40y,t20,250,2.2362975029086773,1.1950648602081577
R_15x40y,t20,500,2.04183443304955,0.6860202157273878
R_15x40y,t20,1000,1.8425500081023867,1.221839480055438
R_15x40y,t20,2000,1.975355402317205,1.5122889541751767
R_15x40y,t20,4000,1.6921628899740322,1.3760026851190243
R_15x40y,t20,8000,1.1413500485963997,0.7633739514549855
R_30x00y,t20,250,2.5270500732315675,1.0160220905342414
R_30x00y,t20,500,2.0474574192894757,0.6578902475446289
R_30x00y,t20,1000,1.900576150470351,1.194173771019374
R_30x00y,t20,2000,1.9494637000876818,1.4962707469840852
R_30x00y,t20,4000,1.7283309144215306,1.3210022497750333
R_30x00y,t20,8000,1.1190407202398613,0.7745684747540601
R_40x30y,t20,250,2.3088797109074415,1.0994734444594207
R_40x30y,t20,500,2.269310960562598,0.6119198480557451
R_40x30y,t20,1000,1.906945453642093,1.1410134537610555
R_40x30y,t20,2000,2.00015735657735,1.5182343938740626
R_40x30y,t20,4000,1.7134505406232012,1.364705567437169
R_40x30y,t20,8000,1.1538209280348974,0.7504323584301461
R_60x15y,t20,250,2.1605912368237647,1.046802648063519
R_60x15y,t20,500,2.1601015400130805,0.7081247488840144
R_60x15y,t20,1000,1.9201734173887237,1.196144781909619
R_60x15y,t20,2000,2.0170344827541955,1.4567737794182796
R_60x15y,t20,4000,1.7365657787420206,1.347001494890166
R_60x15y,t20,8000,1.1573123959465188,0.7605995685760912
