receiver,metric,band_hz,target,prediction
R_00x20y,t20,125,5.643971212346544,2.031182615524891
R_00x20y,t20,250,2.211440041572608,2.2167460899833396
R_00x20y,t20,500,2.1185543566886302,2.2104931519716193
R_00x20y,t20,1000,1.8779081891794835,2.0825437297095126
R_00x20y,t20,2000,2.0188694891591314,2.0364866106955652
R_00x20y,t20,4000,1.7492404436901166,1.7577157193294146
R_00x20y,t20,8000,1.1546544929687,1.1963505456763872
R_15x40y,t20,125,5.24870473061876,2.250914583769263
R_15x40y,t20,250,2.2362975029086773,2.245281447948459
R_15x40y,t20,500,2.04183443304955,2.246247069958588
R_15x40y,t20,1000,1.8425500081023867,2.0922042400075034
R_15x40y,t20,2000,1.975355402317205,2.0518470432289044
R_15x40y,t20,4000,1.6921628899740322,1.8401729658208923
R_15x40y,t20,8000,1.1413500485963997,1.195671350721709
R_30x00y,t20,125,4.5181704440481925,1.9656046956743165
R_30x00y,t20,250,2.5270500732315675,2.4287665959704405
R_30x00y,t20,500,2.0474574192894757,2.242052481375664
R_30x00y,t20,1000,1.900576150470351,2.0216132097354933
R_30x00y,t20,2000,1.9494637000876818,2.0336257166753766
R_30x00y,t20,4000,1.7283309144215306,1.8177353125073734
R_30x00y,t20,8000,1.1190407202398613,1.2040794538976864
R_40x30y,t20,250,2.3088797109074415,2.1096867761292724
R_40x30y,t20,500,2.269310960562598,2.26672720088214
R_40x30y,t20,1000,1.906945453642093,2.182999410593224
R_40x30y,t20,2000,2.00015735657735,2.0527594485659453
R_40x30y,t20,4000,1.7134505406232012,1.7994213012961104
R_40x30y,t20,8000,1.1538209280348974,1.2123158373895242
R_60x15y,t20,125,6.203911889674429,2.138299638842623
R_60x15y,t20,250,2.1605912368237647,2.1865824092909927
R_60x15y,t20,500,2.1601015400130805,2.1777383846301834
R_60x15y,t20,1000,1.9201734173887237,2.125886816286967
R_60x15y,t20,2000,2.0170344827541955,2.0630338869440115
R_60x15y,t20,4000,1.7365657787420206,1.7806009972730665
R_60x15y,t20,8000,1.1573123959465188,1.1832439707430604
