receiver,metric,band_hz,target,prediction
R_00x20y,t20,250,2.211440041572608,2.82300845053379
R_00x20y,t20,500,2.1185543566886302,2.430855686066296
R_00x20y,t20,1000,1.8779081891794835,1.5197455899226036
R_00x20y,t20,2000,2.0188694891591314,1.7724782700602375
R_00x20y,t20,4000,1.7492404436901166,2.805628061169887
R_00x20y,t20,8000,1.1546544929687,1.7492430894286592
R_15x40y,t20,250,2.2362975029086773,3.013435141598217
R_15x40y,t20,500,2.04183443304955,2.4978294143827764
R_15x40y,t20,1000,1.8425500081023867,1.6789853494931575
R_15x40y,t20,2000,1.975355402317205,1.7712907305280285
R_15x40y,t20,4000,1.6921628899740322,2.8436429540116244
R_15x40y,t20,8000,1.1413500485963997,1.7727525081633244
R_30x00y,t20,250,2.5270500732315675,3.180537270012935
R_30x00y,t20,500,2.0474574192894757,2.5184030662746215
R_30x00y,t20,1000,1.900576150470351,1.6561435367341866
R_30x00y,t20,2000,1.9494637000876818,1.8289681871292847
R_30x00y,t20,4000,1.7283309144215306,2.8047130925896253
R_30x00y,t20,8000,1.1190407202398613,1.7452881759976417
R_40x30y,t20,250,2.3088797109074415,2.971009191291823
R_40x30y,t20,500,2.269310960562598,2.505379832582729
R_40x30y,t20,1000,1.906945453642093,1.6630562350897076
R_40x30y,t20,2000,2.00015735657735,1.841597673467313
R_40x30y,t20,4000,1.7134505406232012,2.812396540992768
R_40x30y,t20,8000,1.1538209280348974,1.8138756259236717
R_60x15y,t20,250,2.1605912368237647,3.043992739369773
R_60x15y,t20,500,2.1601015400130805,2.4870402307718615
R_60x15y,t20,1000,1.9201734173887237,1.5608802478705894
R_60x15y,t20,2000,2.0170344827541955,1.8001896205005092
R_60x15y,t20,4000,1.7365657787420206,2.773398027197593
R_60x15y,t20,8000,1.1573123959465188,1.7079001839592838
