receiver,metric,band_hz,target,prediction
R_00x20y,t20,250,2.211440041572608,2.4319160123431587
R_00x20y,t20,500,2.1185543566886302,2.8460963879452277
R_00x20y,t20,1000,1.8779081891794835,2.5484266428773057
R_00x20y,t20,2000,2.0188694891591314,1.7815610750725153
R_00x20y,t20,4000,1.7492404436901166,1.6572873319011887
R_00x20y,t20,8000,1.1546544929687,1.3858566415752398
R_15x40y,t20,250,2.2362975029086773,2.5238630964145874
R_15x40y,t20,500,2.04183443304955,2.7565835770191347
R_15x40y,t20,1000,1.8425500081023867,2.6438051600711345
R_15x40y,t20,2000,1.975355402317205,1.7995135002160163
R_15x40y,t20,4000,1.6921628899740322,1.6370284310382308
R_15x40y,t20,8000,1.1413500485963997,1.402772982151221
R_30x00y,t20,250,2.5270500732315675,2.6334227801359984
R_30x00y,t20,500,2.0474574192894757,2.742494124922916
R_30x00y,t20,1000,1.900576150470351,2.52811944773302
R_30x00y,t20,2000,1.9494637000876818,1.768226345785358
R_30x00y,t20,4000,1.7283309144215306,1.6368813692686153
R_30x00y,t20,8000,1.1190407202398613,1.4008554890373588
R_40x30y,t20,250,2.3088797109074415,2.4402268778893856
R_40x30y,t20,500,2.269310960562598,2.84944473499208
R_40x30y,t20,1000,1.906945453642093,2.6491820706867464
R_40x30y,t20,2000,2.00015735657735,1.7980145322234122
R_40x30y,t20,4000,1.7134505406232012,1.6665189327155212
R_40x30y,t20,8000,1.1538209280348974,1.4139307290816798
R_60x15y,t20,250,2.1605912368237647,2.518923877107848
R_60x15y,t20,500,2.1601015400130805,2.8681933228094096
R_60x15y,t20,1000,1.9201734173887237,2.5258195263244554
R_60x15y,t20,2000,2.0170344827541955,1.768611901430994
R_60x15y,t20,4000,1.7365657787420206,1.6231612480654454
R_60x15y,t20,8000,1.1573123959465188,1.4127104492205493
