receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,1.189720264884643
R_00x20y,t20,125,5.643971212346544,1.290969040875367
R_00x20y,t20,250,2.211440041572608,1.5199930880379546
R_00x20y,t20,500,2.1185543566886302,2.1729297775365954
R_00x20y,t20,1000,1.8779081891794835,1.6555016453410283
R_00x20y,t20,2000,2.0188694891591314,2.464391890148147
R_00x20y,t20,4000,1.7492404436901166,1.5563334513067
R_00x20y,t20,8000,1.1546544929687,1.0185846682196786
R_15x40y,t20,63,2.4042264479123165,1.394997891100309
R_15x40y,t20,125,5.24870473061876,1.2344467259896343
R_15x40y,t20,250,2.2362975029086773,1.5313868836090185
R_15x40y,t20,500,2.04183443304955,2.2581460888707636
R_15x40y,t20,1000,1.8425500081023867,1.7954786774104143
R_15x40y,t20,2000,1.975355402317205,2.4292059906265675
R_15x40y,t20,4000,1.6921628899740322,1.5568008271023095
R_15x40y,t20,8000,1.1413500485963997,1.0603369812953836
R_30x00y,t20,63,2.5228254703312136,0.9441468437708564
R_30x00y,t20,125,4.5181704440481925,1.4603538789769048
R_30x00y,t20,250,2.5270500732315675,1.871860430837164
R_30x00y,t20,500,2.0474574192894757,2.074367063273233
R_30x00y,t20,1000,1.900576150470351,1.727542116341271
R_30x00y,t20,2000,1.9494637000876818,2.440860889525654
R_30x00y,t20,4000,1.7283309144215306,1.5833364695971992
R_30x00y,t20,8000,1.1190407202398613,1.0652387613381498
R_40x30y,t20,63,2.408793926515104,1.1490621948260555
R_40x30y,t20,250,2.3088797109074415,1.4860163534626334
R_40x30y,t20,500,2.269310960562598,2.1531849117437227
R_40x30y,t20,1000,1.906945453642093,1.7725498994036664
R_40x30y,t20,2000,2.00015735657735,2.426455199338402
R_40x30y,t20,4000,1.7134505406232012,1.5982478588112885
R_40x30y,t20,8000,1.1538209280348974,1.0438937650228324
R_60x15y,t20,63,2.482007554301767,1.083977149094919
R_60x15y,t20,125,6.203911889674429,1.365329579002744
R_60x15y,t20,250,2.1605912368237647,1.5268661503072634
R_60x15y,t20,500,2.1601015400130805,2.1600498410540014
R_60x15y,t20,1000,1.9201734173887237,1.6772360767752288
R_60x15y,t20,2000,2.0170344827541955,2.4767924076087433
R_60x15y,t20,4000,1.7365657787420206,1.566224117075149
R_60x15y,t20,8000,1.1573123959465188,1.0409618820307536
