receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,1.8707200144647405
R_00x20y,t20,125,5.643971212346544,2.03118296239657
R_00x20y,t20,250,2.211440041572608,2.216744158358371
R_00x20y,t20,500,2.1185543566886302,2.2105016830164295
R_00x20y,t20,1000,1.8779081891794835,2.0825463900430514
R_00x20y,t20,2000,2.0188694891591314,2.0364865286509084
R_00x20y,t20,4000,1.7492404436901166,1.7577192544055504
R_00x20y,t20,8000,1.1546544929687,1.1963538650839882
R_15x40y,t20,63,2.4042264479123165,2.0904167693087534
R_15x40y,t20,125,5.24870473061876,2.250914737479454
R_15x40y,t20,250,2.2362975029086773,2.2452796943148163
R_15x40y,t20,500,2.04183443304955,2.246253230600867
R_15x40y,t20,1000,1.8425500081023867,2.092202609242152
R_15x40y,t20,2000,1.975355402317205,2.0518418595575327
R_15x40y,t20,4000,1.6921628899740322,1.8401715870943243
R_15x40y,t20,8000,1.1413500485963997,1.1956723421479787
R_30x00y,t20,63,2.5228254703312136,1.5355449905669782
R_30x00y,t20,125,4.5181704440481925,1.9656039351072827
R_30x00y,t20,250,2.5270500732315675,2.4287654552399287
R_30x00y,t20,500,2.0474574192894757,2.2420659448861406
R_30x00y,t20,1000,1.900576150470351,2.0216145309716795
R_30x00y,t20,2000,1.9494637000876818,2.033626657699068
R_30x00y,t20,4000,1.7283309144215306,1.8177305030910935
R_30x00y,t20,8000,1.1190407202398613,1.2040599493267925
R_40x30y,t20,63,2.408793926515104,1.9742488727640417
R_40x30y,t20,250,2.3088797109074415,2.1096896007497743
R_40x30y,t20,500,2.269310960562598,2.266728021690371
R_40x30y,t20,1000,1.906945453642093,2.1829795554623925
R_40x30y,t20,2000,2.00015735657735,2.052749813314045
R_40x30y,t20,4000,1.7134505406232012,1.7994243627794895
R_40x30y,t20,8000,1.1538209280348974,1.2123117925678
R_60x15y,t20,63,2.482007554301767,1.8423077276332847
R_60x15y,t20,125,6.203911889674429,2.1383011323042824
R_60x15y,t20,250,2.1605912368237647,2.1865862114287102
R_60x15y,t20,500,2.1601015400130805,2.177752251253175
R_60x15y,t20,1000,1.9201734173887237,2.1258844794488008
R_60x15y,t20,2000,2.0170344827541955,2.0630352529841067
R_60x15y,t20,4000,1.7365657787420206,1.7806006132854928
R_60x15y,t20,8000,1.1573123959465188,1.1832387209826543
