receiver,metric,band_hz,target,prediction
R_00x20y,t20,125,5.643971212346544,4.023363106501765
R_00x20y,t20,250,2.211440041572608,3.2356712346011083
R_00x20y,t20,500,2.1185543566886302,1.8645743825559007
R_00x20y,t20,1000,1.8779081891794835,1.4391235221063268
R_00x20y,t20,2000,2.0188694891591314,1.353685393669171
R_00x20y,t20,4000,1.7492404436901166,1.4130568986513048
R_00x20y,t20,8000,1.1546544929687,1.0890875244192821
R_15x40y,t20,125,5.24870473061876,4.185204955749843
R_15x40y,t20,250,2.2362975029086773,2.8129214248839123
R_15x40y,t20,500,2.04183443304955,2.1990210590977965
R_15x40y,t20,1000,1.8425500081023867,1.6591237879815741
R_15x40y,t20,2000,1.975355402317205,1.3681423745906576
R_15x40y,t20,4000,1.6921628899740322,1.436357891839222
R_15x40y,t20,8000,1.1413500485963997,1.105353049511319
R_30x00y,t20,125,4.5181704440481925,4.249284326223651
R_30x00y,t20,250,2.5270500732315675,2.7049859106139977
R_30x00y,t20,500,2.0474574192894757,1.703057829076127
R_30x00y,t20,1000,1.900576150470351,1.495880872125437
R_30x00y,t20,2000,1.9494637000876818,1.32711113488127
R_30x00y,t20,4000,1.7283309144215306,1.4488883113161974
R_30x00y,t20,8000,1.1190407202398613,1.1201962261286424
R_40x30y,t20,250,2.3088797109074415,3.90448570298847
R_40x30y,t20,500,2.269310960562598,2.3091701001120017
R_40x30y,t20,1000,1.906945453642093,1.4619509125767085
R_40x30y,t20,2000,2.00015735657735,1.3182219597015012
R_40x30y,t20,4000,1.7134505406232012,1.5058537976002997
R_40x30y,t20,8000,1.1538209280348974,1.1188238000656636
R_60x15y,t20,125,6.203911889674429,4.522204433310297
R_60x15y,t20,250,2.1605912368237647,3.6524446723971087
R_60x15y,t20,500,2.1601015400130805,1.5785278804604375
R_60x15y,t20,1000,1.9201734173887237,1.430316796900387
R_60x15y,t20,2000,2.0170344827541955,1.3402300373228633
R_60x15y,t20,4000,1.7365657787420206,1.3848776202520285
R_60x15y,t20,8000,1.1573123959465188,1.097939290879806
