receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,9.772389028341038
R_00x20y,t20,125,5.643971212346544,5.803193361579204
R_00x20y,t20,250,2.211440041572608,3.901435378528154
R_00x20y,t20,500,2.1185543566886302,3.948779876912055
R_00x20y,t20,1000,1.8779081891794835,2.4110243304040857
R_00x20y,t20,2000,2.0188694891591314,2.306554634184771
R_00x20y,t20,4000,1.7492404436901166,2.003150874437362
R_00x20y,t20,8000,1.1546544929687,0.9732394821060681
R_15x40y,t20,63,2.4042264479123165,9.872313632704763
R_15x40y,t20,125,5.24870473061876,5.310280923490845
R_15x40y,t20,250,2.2362975029086773,3.925390043098599
R_15x40y,t20,500,2.04183443304955,3.6953560082147225
R_15x40y,t20,1000,1.8425500081023867,2.4083078833434373
R_15x40y,t20,2000,1.975355402317205,2.328445444204611
R_15x40y,t20,4000,1.6921628899740322,2.047346026688095
R_15x40y,t20,8000,1.1413500485963997,0.9884844174363643
R_30x00y,t20,63,2.5228254703312136,10.060053014320896
R_30x00y,t20,125,4.5181704440481925,5.773269735152616
R_30x00y,t20,250,2.5270500732315675,4.186219195398428
R_30x00y,t20,500,2.0474574192894757,3.8839549272906826
R_30x00y,t20,1000,1.900576150470351,2.4311742416026796
R_30x00y,t20,2000,1.9494637000876818,2.3677504067879203
R_30x00y,t20,4000,1.7283309144215306,2.023551910370402
R_30x00y,t20,8000,1.1190407202398613,0.9719325704091196
R_40x30y,t20,63,2.408793926515104,10.14404086513384
R_40x30y,t20,250,2.3088797109074415,4.087177296468075
R_40x30y,t20,500,2.269310960562598,3.935680526094057
R_40x30y,t20,1000,1.906945453642093,2.392987542729147
R_40x30y,t20,2000,2.00015735657735,2.3577280423684503
R_40x30y,t20,4000,1.7134505406232012,2.0355514903757785
R_40x30y,t20,8000,1.1538209280348974,0.9628558393402593
R_60x15y,t20,63,2.482007554301767,10.05916479305216
R_60x15y,t20,125,6.203911889674429,5.523649690052768
R_60x15y,t20,250,2.1605912368237647,4.250106337114327
R_60x15y,t20,500,2.1601015400130805,3.890167672602552
R_60x15y,t20,1000,1.9201734173887237,2.3003730684412065
R_60x15y,t20,2000,2.0170344827541955,2.312798352457398
R_60x15y,t20,4000,1.7365657787420206,2.053712479580069
R_60x15y,t20,8000,1.1573123959465188,0.9452555551752333
