receiver,metric,band_hz,target,prediction
R_00x20y,t20,63,2.7314456450549325,2.636522261723746
R_00x20y,t20,125,5.643971212346544,2.2322814694850166
R_00x20y,t20,250,2.211440041572608,2.714611854862657
R_00x20y,t20,500,2.1185543566886302,2.4276099690389468
R_00x20y,t20,1000,1.8779081891794835,2.154558914554254
R_00x20y,t20,2000,2.0188694891591314,1.7262134207878974
R_00x20y,t20,4000,1.7492404436901166,1.601378418841889
R_00x20y,t20,8000,1.1546544929687,1.149229987443471
R_15x40y,t20,63,2.4042264479123165,2.678831333873916
R_15x40y,t20,125,5.24870473061876,2.4333285741673434
R_15x40y,t20,250,2.2362975029086773,3.436320407101688
R_15x40y,t20,500,2.04183443304955,2.4687649463977377
R_15x40y,t20,1000,1.8425500081023867,2.1612827009923894
R_15x40y,t20,2000,1.975355402317205,1.8399238807526055
R_15x40y,t20,4000,1.6921628899740322,1.660701564248474
R_15x40y,t20,8000,1.1413500485963997,1.1385293004147607
R_30x00y,t20,63,2.5228254703312136,2.5069359302632166
R_30x00y,t20,125,4.5181704440481925,2.2266926614724296
R_30x00y,t20,250,2.5270500732315675,2.3969619058832747
R_30x00y,t20,500,2.0474574192894757,2.4953829406062695
R_30x00y,t20,1000,1.900576150470351,2.117447234558655
R_30x00y,t20,2000,1.9494637000876818,1.751610110062137
R_30x00y,t20,4000,1.7283309144215306,1.6249436613413055
R_30x00y,t20,8000,1.1190407202398613,1.1409997647624366
R_40x30y,t20,63,2.408793926515104,2.6514968551948597
R_40x30y,t20,250,2.3088797109074415,2.6568098881151836
R_40x30y,t20,500,2.269310960562598,2.511839557119867
R_40x30y,t20,1000,1.906945453642093,2.172473742616239
R_40x30y,t20,2000,2.00015735657735,1.7796042320947283
R_40x30y,t20,4000,1.7134505406232012,1.645969708422945
R_40x30y,t20,8000,1.1538209280348974,1.1371091874563013
R_60x15y,t20,63,2.482007554301767,2.59441386707082
R_60x15y,t20,125,6.203911889674429,2.277086376958945
R_60x15y,t20,250,2.1605912368237647,2.1565366114443814
R_60x15y,t20,500,2.1601015400130805,2.495575921376467
R_60x15y,t20,1000,1.9201734173887237,2.20300906703495
R_60x15y,t20,2000,2.0170344827541955,1.7475990630828382
R_60x15y,t20,4000,1.7365657787420206,1.6076449467658949
R_60x15y,t20,8000,1.1573123959465188,1.1076179126968828
